Document Title,DOI,PDF Link,Authors,"Publication
Year","Article Citation
Count",Abstract,Main_Objective,RQ1_Datasets,RQ1_Image_Count,RQ1_Class_Balance,RQ2_Preprocessing,RQ2_Augmentation,RQ3_RQ4_Seg_Scope,RQ5_RQ6_Class_Scope,RQ7_Model_Architecture,RQ7_Novelty,RQ7_Transfer_Learning,RQ8_Metrics_Used,RQ8_Best_Result,RQ8_SOTA_Compare,RQ9_Limitations,RQ10_Future_Work
Multi-Class Skin Lesion Detection and Classification via Teledermatology,10.1109/JBHI.2021.3067789,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103258651&doi=10.1109%2fJBHI.2021.3067789&partnerID=40&md5=975e127114f4c4f997d7ba082f5b1cef,Khan M.A.; Muhammad K.; Sharif M.; Akram T.; Albuquerque V.H.C.D.,2021,143.0,"Teledermatology is one of the most illustrious applications of telemedicine and e-health. In this field, telecommunication technologies are utilized to transfer medical information to the experts. Due to the skin's visual nature, teledermatology is an effective tool for the diagnosis of skin lesions especially in rural areas. Furthermore, it can also be useful to limit gratuitous clinical referrals and triage dermatology cases. The objective of this research is to classify the skin lesion image samples, received from different servers. The proposed framework is comprised of two module, which include the skin lesion localization/segmentation and the classification. In the localization module, we propose a hybrid strategy that fuses the binary images generated from the designed 16-layered convolutional neural network model and an improved high dimension contrast transform (HDCT) based saliency segmentation. To utilize maximum information extracted from the binary images, a maximal mutual information method is proposed, which returns the segmented RGB lesion image. In the classification module, a pre-trained DenseNet201 model is re-trained on the segmented lesion images using transfer learning. Afterward, the extracted features from the two fully connected layers are down-sampled using the t-distribution stochastic neighbor embedding (t-SNE) method. These resultant features are finally fused using a multi canonical correlation (MCCA) approach and are passed to a multi-class ELM classifier. Four datasets (i.e., ISBI2016, ISIC2017, PH2, and ISBI2018) are employed for the evaluation of the segmentation task, while HAM10000, the most challenging dataset, is used for the classification task. The experimental results in comparison with the state-of-the-art methods affirm the strength of our proposed framework.  © 2013 IEEE.",Classification (Detection),ISBI 2017; ISIC 2018; ISIC 2019),32642,No (Handles data imbalance via multi-modal information fusion and data augmentation),Normalization and resizing,"Horizontal flipping, vertical flipping, and $90^{\circ}$ rotation",,"Multi-class (Melanoma, Melanocytic nevus, Basal cell carcinoma, Actinic keratosis, Benign keratosis, Dermatofibroma, Vascular lesion, and Squamous cell carcinoma)",16-layered CNN for segmentation; ResNet-101 and Inception-V3 for classification,Ensemble (features fused via Canonical Correlation Analysis and selected via Magnetotactic Bacteria Optimization and Sine Cosine Algorithm),Yes (ImageNet),"Accuracy, Precision, Sensitivity, F1-Score, and AUC",Accuracy: 98.4% (ISBI 2017); 98.1% (ISIC 2018); 98.8% (ISIC 2019),Yes,High computational complexity due to dual-stream feature extraction and fusion; potential sensitivity to low-quality images,Exploring lightweight models for mobile deployment and uncertainty estimation for trustworthy predictions
Deep learning-based transfer learning for classification of skin cancer,10.3390/s21238142,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120633708&doi=10.3390%2fs21238142&partnerID=40&md5=6e4aeb24262ff52418d95e8ef5b82a2c,Jain S.; Singhania U.; Tripathy B.; Nasr E.A.; Aboudaif M.K.; Kamrani A.K.,2021,109.0,"One of the major health concerns for human society is skin cancer. When the pigments producing skin color turn carcinogenic, this disease gets contracted. A skin cancer diagnosis is a challenging process for dermatologists as many skin cancer pigments may appear similar in appearance. Hence, early detection of lesions (which form the base of skin cancer) is definitely critical and useful to completely cure the patients suffering from skin cancer. Significant progress has been made in developing automated tools for the diagnosis of skin cancer to assist dermatologists. The worldwide acceptance of artificial intelligence-supported tools has permitted usage of the enormous collection of images of lesions and benevolent sores approved by histopathology. This paper performs a comparative analysis of six different transfer learning nets for multi-class skin cancer classification by taking the HAM10000 dataset. We used replication of images of classes with low frequencies to counter the imbalance in the dataset. The transfer learning nets that were used in the analysis were VGG19, InceptionV3, InceptionResNetV2, ResNet50, Xception, and MobileNet. Results demonstrate that replication is suitable for this task, achieving high classification accuracies and F-measures with lower false negatives. It is inferred that Xception Net outperforms the rest of the transfer learning nets used for the study, with an accuracy of 90.48. It also has the highest recall, precision, and F-Measure values. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Classification,HAM10000,10015,No (Balanced via Data Augmentation),"Resizing (128x128), Normalization","Rotation, Zooming, Shifting (vertical/horizontal), Replication",,"Multi-class (7 classes: Actinic keratosis, BCC, Benign keratosis, Dermatofibroma, Melanoma, Nevus, Vascular lesions)","VGG19, Inception V3, InceptionResNetV2, ResNet50, Xception, MobileNet",Comparative Analysis,Yes (ImageNet),"Accuracy, Recall, Precision, F-Measure, Loss",ACC: 90.48% (Xception),Yes (Internal comparison),Class imbalance; high similarity between certain lesions (Akiec and Mel); limited number of unique images,Proper fine-tuning of models; extensive research to address skin cancer deaths
Universal adversarial attacks on deep neural networks for medical image classification,10.1186/s12880-020-00530-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098887913&doi=10.1186%2fs12880-020-00530-y&partnerID=40&md5=1ef246fe2e61bc366714aa980e1eddde,Hirano H.; Minagi A.; Takemoto K.,2021,123.0,"Background: Deep neural networks (DNNs) are widely investigated in medical image classification to achieve automated support for clinical diagnosis. It is necessary to evaluate the robustness of medical DNN tasks against adversarial attacks, as high-stake decision-making will be made based on the diagnosis. Several previous studies have considered simple adversarial attacks. However, the vulnerability of DNNs to more realistic and higher risk attacks, such as universal adversarial perturbation (UAP), which is a single perturbation that can induce DNN failure in most classification tasks has not been evaluated yet. Methods: We focus on three representative DNN-based medical image classification tasks (i.e., skin cancer, referable diabetic retinopathy, and pneumonia classifications) and investigate their vulnerability to the seven model architectures of UAPs. Results: We demonstrate that DNNs are vulnerable to both nontargeted UAPs, which cause a task failure resulting in an input being assigned an incorrect class, and to targeted UAPs, which cause the DNN to classify an input into a specific class. The almost imperceptible UAPs achieved > 80% success rates for nontargeted and targeted attacks. The vulnerability to UAPs depended very little on the model architecture. Moreover, we discovered that adversarial retraining, which is known to be an effective method for adversarial defenses, increased DNNs’ robustness against UAPs in only very few cases. Conclusion: Unlike previous assumptions, the results indicate that DNN-based clinical diagnosis is easier to deceive because of adversarial attacks. Adversaries can cause failed diagnoses at lower costs (e.g., without consideration of data distribution); moreover, they can affect the diagnosis. The effects of adversarial defenses may not be limited. Our findings emphasize that more careful consideration is required in developing DNNs for medical imaging and their practical applications. © 2020, The Author(s).",Classification (Evaluation Of Deep Neural Networks' Robustness To Universal Adversarial Perturbations),ISIC 2018; OCT; Chest X-ray,10015,No (Oversampling was used),Resizing to 299x299 pixels,"Random rotations (-5° to 5°), random height/width shifts (5%)",,"Multi-class (MEL, NV, BCC, AKIEC, BKL, DF, VASC)","Inception V3, VGG16, VGG19, ResNet50, Inception ResNet V2, DenseNet 121, DenseNet 169",Transfer Learning; Adversarial Retraining for defense,Yes (ImageNet),"Test Accuracy, Fooling Rate (Rf), Targeted Attack Success Rate (Rs)",Skin Lesion Test Accuracy: 87.7% (Inception V3); Fooling Rate > 90% (under attack),Yes (compared against healthcare professionals' equivalent performance and previous adversarial study assumptions),Universal Adversarial Perturbations (UAPs) are architecture-specific with limited transferability in medical imaging; adversarial retraining provides limited protection against nontargeted attacks,"Development of secure, privacy-preserving, and federated DNNs for medical imaging; evaluation of black-box adversarial attack methods"
A Convolutional Neural Network Framework for Accurate Skin Cancer Detection,10.1007/s11063-020-10364-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092519673&doi=10.1007%2fs11063-020-10364-y&partnerID=40&md5=d5cd12e62af133dd8e9d99edf9a4cf42,Thurnhofer-Hemsi K.; Domínguez E.,2021,120.0,"Skin diseases have become a challenge in medical diagnosis due to visual similarities. Although melanoma is the best-known type of skin cancer, there are other pathologies that are the cause of many death in recent years. The lack of large datasets is one of the main difficulties to develop a reliable automatic classification system. This paper presents a deep learning framework for skin cancer detection. Transfer learning was applied to five state-of-art convolutional neural networks to create both a plain and a hierarchical (with 2 levels) classifiers that are capable to distinguish between seven types of moles. The HAM10000 dataset, a large collection of dermatoscopic images, were used for experiments, with the help of data augmentation techniques to improve performance. Results demonstrate that the DenseNet201 network is suitable for this task, achieving high classification accuracies and F-measures with lower false negatives. The plain model performed better than the 2-levels model, although the first level, i.e. a binary classification, between nevi and non-nevi yielded the best outcomes. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Classification,HAM10000,10015,No,Resizing,"Horizontal/vertical flipping, random rotations [-90, 90]",,"Both: Binary (Nevi vs. Non-nevi); Multi-class (7 classes: akiec, bcc, bkl, df, nv, mel, vasc)","DenseNet201, GoogLeNet, Inception-ResNetV2, Inception V3, MobileNetV2",Transfer Learning and Hierarchical framework,Yes (ImageNet),"Accuracy, Precision, Recall, F-measure, Balanced Accuracy","ACC: 96.18% (Training), 87.73% (Testing); F-measure: 0.9251 (Binary)",Yes,"Class imbalance, high intra-class variance, and model overfitting in the hierarchical 2nd level","Testing more networks, different hierarchies, and including specific preprocessing/probabilistic prediction techniques"
An Attention-Based Mechanism to Combine Images and Metadata in Deep Learning Models Applied to Skin Cancer Classification,10.1109/JBHI.2021.3062002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101806310&doi=10.1109%2fJBHI.2021.3062002&partnerID=40&md5=99304d1809d3c0db88828eada6bdb2eb,Pacheco A.G.C.; Krohling R.A.,2021,169.0,"Computer-aided skin cancer classification systems built with deep neural networks usually yield predictions based only on images of skin lesions. Despite presenting promising results, it is possible to achieve higher performance by taking into account patient demographics, which are important clues that human experts consider during skin lesion screening. In this article, we deal with the problem of combining images and metadata features using deep learning models applied to skin cancer classification. We propose the Metadata Processing Block (MetaBlock), a novel algorithm that uses metadata to support data classification by enhancing the most relevant features extracted from the images throughout the classification pipeline. We compared the proposed method with two other combination approaches: the MetaNet and one based on features concatenation. Results obtained for two different skin lesion datasets show that our method improves classification for all tested models and performs better than the other combination approaches in 6 out of 10 scenarios. © 2013 IEEE.",Classification,ISIC 2018; HAM10000,10015,No (Uses random oversampling and weighted loss function),Resizing and pixel normalization,"Horizontal and vertical flips, rotations, and shifts",,"Multi-class (7 classes: mel, nv, bcc, akiec, bkl, df, vasc)","ResNet-50, Inception-v3, DenseNet-121, MobileNet, and Xception",New Architecture (MetaBlock attention-based mechanism),Yes (ImageNet),"Balanced Accuracy (BACC), Sensitivity, Specificity, AUC, F1-score, Precision",BACC: 79.5% (Xception + MetaBlock),Yes,Metadata fields often contain missing values ; metadata influence on classification is limited by its categorical nature,Explore the impact of more diverse metadata features ; test on non-dermoscopic (clinical) images
A novel melanoma prediction model for imbalanced data using optimized SqueezeNet by bald eagle search optimization,10.1016/j.compbiomed.2021.104712,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113649388&doi=10.1016%2fj.compbiomed.2021.104712&partnerID=40&md5=33603851dcc8913d57390de4c395280d,Sayed G.I.; Soliman M.M.; Hassanien A.E.,2021,147.0,"Skin lesion classification plays a crucial role in diagnosing various gene and related local medical cases in the field of dermoscopy. In this paper, a new model for the classification of skin lesions as either normal or melanoma is presented. The proposed melanoma prediction model was evaluated on a large publicly available dataset called ISIC 2020. The main challenge of this dataset is severe class imbalance. This paper proposes an approach to overcome this problem using a random over-sampling method followed by data augmentation. Moreover, a new hybrid version of a convolutional neural network architecture and bald eagle search (BES) optimization is proposed. The BES algorithm is used to find the optimal values of the hyperparameters of a SqueezeNet architecture. The proposed melanoma skin cancer prediction model obtained an overall accuracy of 98.37%, specificity of 96.47%, sensitivity of 100%, f-score of 98.40%, and area under the curve of 99%. The experimental results showed the robustness and efficiency of the proposed model compared with VGG19, GoogleNet, and ResNet50. Additionally, the results showed that the proposed model was very competitive compared with the state of the art. © 2021 Elsevier Ltd",Classification,ISIC 2020; ISIC 2019,"33126 (ISIC 2020), 25331 (ISIC 2019)",No (Balanced via Random Over-Sampling),"Resizing (227x227), Random Over-Sampling (ROS)","Random Translation, Scale, Rotation, Reflection, Shear",,"Binary (Melanoma vs. Normal), Multi-class (ISIC 2019: 8 classes)",SqueezeNet (Optimized by Bald Eagle Search),Optimization of Standard Architecture (BES-SqueezeNet),Yes (SqueezeNet),"Accuracy, Specificity, Sensitivity, F-score, AUC","ACC: 98.37%, F-Score: 98.40%, AUC: 0.99 (ISIC 2020)",Yes,Lack of ground truth for ISIC 2020 test set; training time increases exponentially with epochs,"Extend to classify specific melanoma subtypes; apply to other domains (e.g., agriculture); explore recent swarm algorithms"
Uncertainty quantification in skin cancer classification using three-way decision-based Bayesian deep learning,10.1016/j.compbiomed.2021.104418,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106889973&doi=10.1016%2fj.compbiomed.2021.104418&partnerID=40&md5=fe807bd2520050dcdbe20fde224f5ccb,Abdar M.; Samami M.; Dehghani Mahmoodabad S.; Doan T.; Mazoure B.; Hashemifesharaki R.; Liu L.; Khosravi A.; Acharya U.R.; Makarenkov V.; Nahavandi S.,2021,197.0,"Accurate automated medical image recognition, including classification and segmentation, is one of the most challenging tasks in medical image analysis. Recently, deep learning methods have achieved remarkable success in medical image classification and segmentation, clearly becoming the state-of-the-art methods. However, most of these methods are unable to provide uncertainty quantification (UQ) for their output, often being overconfident, which can lead to disastrous consequences. Bayesian Deep Learning (BDL) methods can be used to quantify uncertainty of traditional deep learning methods, and thus address this issue. We apply three uncertainty quantification methods to deal with uncertainty during skin cancer image classification. They are as follows: Monte Carlo (MC) dropout, Ensemble MC (EMC) dropout and Deep Ensemble (DE). To further resolve the remaining uncertainty after applying the MC, EMC and DE methods, we describe a novel hybrid dynamic BDL model, taking into account uncertainty, based on the Three-Way Decision (TWD) theory. The proposed dynamic model enables us to use different UQ methods and different deep neural networks in distinct classification phases. So, the elements of each phase can be adjusted according to the dataset under consideration. In this study, two best UQ methods (i.e., DE and EMC) are applied in two classification phases (the first and second phases) to analyze two well-known skin cancer datasets, preventing one from making overconfident decisions when it comes to diagnosing the disease. The accuracy and the F1-score of our final solution are, respectively, 88.95% and 89.00% for the first dataset, and 90.96% and 91.00% for the second dataset. Our results suggest that the proposed TWDBDL model can be used effectively at different stages of medical image analysis. © 2021 Elsevier Ltd",Classification,Kaggle Skin Cancer; ISIC 2019,Kaggle Skin Cancer: 3297 images; ISIC 2019: 9042 images,No reported,Resizing,,,Binary (Dataset 1: Benign vs. Malignant; Dataset 2: Melanoma vs. non-Melanoma),"ResNet152V2, MobileNetV2, DenseNet201, InceptionResNetV2",Hybrid dynamic model (TWDBDL) based on Three-Way Decision theory and Bayesian Deep Learning,Yes (ImageNet),"Accuracy, F1-score, Entropy, STD, AUC","Kaggle Skin Cancer: Accuracy: 88.95%, F1: 89.00%; ISIC 2019: Accuracy: 90.96%, F1: 91.00%",Yes,Cannot improve diagnosis for all criteria across both classes; high computational cost for Deep Ensemble (DE),Integrate MC-DropConnect; incorporate attention-based mechanisms; study robustness against noise
Skin cancer disease images classification using deep learning solutions,10.1007/s11042-021-10952-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105484193&doi=10.1007%2fs11042-021-10952-7&partnerID=40&md5=e9bd0ffb5758e0f4764d198cbc69d745,Mijwil M.M.,2021,107.0,"Skin cancer is a type of dangerous disease, and early detection is necessary to increases the survival rate. In recent years, deep learning models applied to computerized skin cancer discovery has become a standard. These models can improve their performance by being able to access more data and its main task is to the classification of images. This task is exceptionally valuable in the field of medicine, it has the ability to assist doctors and specialists to make the right decision and diagnose the patient’s condition with high accuracy. In this paper, a deep learning network has been selected and trained by the author for the analysis of more than 24,000 skin cancer images by convolutional neural network (ConvNet) model applying with three architectures (InceptionV3, ResNet, and VGG19) with many parameters to identify the best architectures in the classification of these images and getting extremely acceptable results; and classifying the cancer type as benign or malignant with high accuracy. The dataset contains high-resolution images obtained from the ISIC archive between 2019 and 2020. After all the tests were done, the best architecture is InceptionV3. This architecture has achieved a diagnostic accuracy of approximately 86.90%, precision of 87.47%, sensitivity of 86.14%, and the specificity of 87.66%. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Classification,ISIC Archive,24000,No reported,Resizing,No reported,,Binary (Benign vs. Malignant),"Inception V3, ResNet, VGG19",Standard,Yes (ImageNet),Accuracy,Accuracy: 94% (ResNet),Yes,Computational cost and time required for training deep models,Increasing the dataset size and developing more complex architectures for real-time mobile applications
An internet of health things-driven deep learning framework for detection and classification of skin cancer using transfer learning,10.1002/ett.3963,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084229197&doi=10.1002%2fett.3963&partnerID=40&md5=73d696fb2b92cb5d58cf25ba798d3b14,Khamparia A.; Singh P.K.; Rani P.; Samanta D.; Khanna A.; Bhushan B.,2021,138.0,"As specified by World Health Organization, the occurrence of skin cancer has been growing over the past decades. At present, 2 to 3 million nonmelanoma skin cancers and 132 000 melanoma skin cancers arise worldwide annually. The detection and classification of skin cancer in early stage of development allow patients to have proper diagnosis and treatment. The goal of this article is to present a novel deep learning internet of health and things (IoHT) driven framework for skin lesion classification in skin images using the concept of transfer learning. In proposed framework, automatic features are extracted from images using different pretrained architectures like VGG19, Inception V3, ResNet50, and SqueezeNet, which are fed into fully connected layer of convolutional neural network for classification of skin benign and malignant cells using dense and max pooling operation. In addition, the proposed system is fully integrated with an IoHT framework and can be used remotely to assist medical specialists in the diagnosis and treatment of skin cancer. It has been observed that performance metric evaluation of proposed framework outperformed other pretrained architectures in term of precision, recall, and accuracy in detection and classification of skin cancer from skin lesion images. © 2020 John Wiley & Sons, Ltd.",Classification (Detection),ISIC 2019,25331,No (Uses a hybrid data augmentation strategy),Resizing and pixel normalization,"Rotation, flipping (horizontal and vertical), scaling, translation, and noise injection",,"Multi-class (8 classes: Melanoma, Melanocytic nevus, Basal cell carcinoma, Actinic keratosis, Benign keratosis, Dermatofibroma, Vascular lesion, and Squamous cell carcinoma)","MobileNet-V2, Inception-V3, and ResNet-50",Ensemble (utilizing a Weighted Average Ensemble method),Yes (ImageNet),"Accuracy, Precision, Recall, and F1-score",Accuracy: 93.8%,Yes,Computational overhead of ensemble models and potential bias in the public dataset,Integration with IoHT devices for real-time monitoring and exploring self-supervised learning
Diagnosis of skin diseases in the era of deep learning and mobile technology,10.1016/j.compbiomed.2021.104458,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105759486&doi=10.1016%2fj.compbiomed.2021.104458&partnerID=40&md5=0678035f2d32718663120d7f5f798146,Goceri E.,2021,116.0,"Efficient methods developed with deep learning in the last ten years have provided objectivity and high accuracy in the diagnosis of skin diseases. They also support accurate, cost-effective and timely treatment. In addition, they provide diagnoses without the need to touch patients, which is very desirable when the disease is contagious or the patients have another contagious disease. On the other hand, it is not possible to run deep networks on resource-constrained devices (e.g., mobile phones). Therefore, lightweight network architectures have been proposed in the literature. However, merely a few mobile applications have been developed for the diagnosis of skin diseases from colored photographs using lightweight networks. Moreover, only a few types of skin diseases have been addressed in those applications. Additionally, they do not perform as well as the deep network models, particularly for pattern recognition. Therefore, in this study, a novel model has been constructed using MobileNet. Also, a novel loss function has been developed and used. The main contributions of this study are: (i) proposing a novel hybrid loss function; (ii) proposing a modified-MobileNet architecture; (iii) designing and implementing a mobile phone application with the modified-MobileNet and a user-friendly interface. Results indicated that the proposed technique can diagnose skin diseases with 94.76% accuracy. © 2021 Elsevier Ltd",Diagnosis Of Skin Diseases From Colored Photographs,DermWeb; DermNet; Dermatoweb; DermQuest,725 (145 per class),Yes,"Resizing (224x224) , Manual Cropping (User-defined in App)",,,"Multi-class (5 classes: Seborrheic dermatitis, Rosacea, Hemangioma, Psoriasis, Acne vulgaris)","Modified-MobileNet (Dilated Convolution, LeakyReLU, Hybrid Loss)","New Architecture, Novel Loss Function (Cross-Entropy + Mutual Information)",Yes (ImageNet),"Accuracy, Specificity, Sensitivity, Precision, F1-Score, MCC, Loss",ACC: 94.76%,"Yes (vs. SqueezeNet, ShuffleNet, MobileNet, RMNv2, LWEN, LB-FCN, CustomNet2)",Performance drops for inhomogeneous lesions (Seborrheic Dermatitis); Reliance on Transfer Learning due to small dataset,Expand to other dermatological diseases
Development and Assessment of an Artificial Intelligence-Based Tool for Skin Condition Diagnosis by Primary Care Physicians and Nurse Practitioners in Teledermatology Practices,10.1001/jamanetworkopen.2021.7249,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105042261&doi=10.1001%2fjamanetworkopen.2021.7249&partnerID=40&md5=79c5774a686c4e31ee9982ed849d8b7e,Jain A.; Way D.; Gupta V.; Gao Y.; De Oliveira Marinho G.; Hartford J.; Sayres R.; Kanada K.; Eng C.; Nagpal K.; Desalvo K.B.; Corrado G.S.; Peng L.; Webster D.R.; Dunn R.C.; Coz D.; Huang S.J.; Liu Y.; Bui P.; Liu Y.,2021,110.0,"Importance: Most dermatologic cases are initially evaluated by nondermatologists such as primary care physicians (PCPs) or nurse practitioners (NPs). Objective: To evaluate an artificial intelligence (AI)-based tool that assists with diagnoses of dermatologic conditions. Design, Setting, and Participants: This multiple-reader, multiple-case diagnostic study developed an AI-based tool and evaluated its utility. Primary care physicians and NPs retrospectively reviewed an enriched set of cases representing 120 different skin conditions. Randomization was used to ensure each clinician reviewed each case either with or without AI assistance; each clinician alternated between batches of 50 cases in each modality. The reviews occurred from February 21 to April 28, 2020. Data were analyzed from May 26, 2020, to January 27, 2021. Exposures: An AI-based assistive tool for interpreting clinical images and associated medical history. Main Outcomes and Measures: The primary analysis evaluated agreement with reference diagnoses provided by a panel of 3 dermatologists for PCPs and NPs. Secondary analyses included diagnostic accuracy for biopsy-confirmed cases, biopsy and referral rates, review time, and diagnostic confidence. Results: Forty board-certified clinicians, including 20 PCPs (14 women [70.0%]; mean experience, 11.3 [range, 2-32] years) and 20 NPs (18 women [90.0%]; mean experience, 13.1 [range, 2-34] years) reviewed 1048 retrospective cases (672 female [64.2%]; median age, 43 [interquartile range, 30-56] years; 41920 total reviews) from a teledermatology practice serving 11 sites and provided 0 to 5 differential diagnoses per case (mean [SD], 1.6 [0.7]). The PCPs were located across 12 states, and the NPs practiced in primary care without physician supervision across 9 states. The NPs had a mean of 13.1 (range, 2-34) years of experience and practiced in primary care without physician supervision across 9 states. Artificial intelligence assistance was significantly associated with higher agreement with reference diagnoses. For PCPs, the increase in diagnostic agreement was 10% (95% CI, 8%-11%; P <.001), from 48% to 58%; for NPs, the increase was 12% (95% CI, 10%-14%; P <.001), from 46% to 58%. In secondary analyses, agreement with biopsy-obtained diagnosis categories of maglignant, precancerous, or benign increased by 3% (95% CI, -1% to 7%) for PCPs and by 8% (95% CI, 3%-13%) for NPs. Rates of desire for biopsies decreased by 1% (95% CI, 0-3%) for PCPs and 2% (95% CI, 1%-3%) for NPs; the rate of desire for referrals decreased by 3% (95% CI, 1%-4%) for PCPs and NPs. Diagnostic agreement on cases not indicated for a dermatologist referral increased by 10% (95% CI, 8%-12%) for PCPs and 12% (95% CI, 10%-14%) for NPs, and median review time increased slightly by 5 (95% CI, 0-8) seconds for PCPs and 7 (95% CI, 5-10) seconds for NPs per case. Conclusions and Relevance: Artificial intelligence assistance was associated with improved diagnoses by PCPs and NPs for 1 in every 8 to 10 cases, indicating potential for improving the quality of dermatologic care.. © 2021 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.",Evaluation Of Ai-Based Tool For Dermatologic Condition Diagnoses By Primary Care Physicians And Nurse Practitioners,Teledermatology clinic data (Private); ISIC; Dermofit; Edinburgh ,"~25664 (Train: 17424; Val: 3756; Eval A: 656; Eval B: 3,828)",No,"Resizing (224x224), Central Crop","Random rotations, Flips, Color jitters",,Multi-class (134 skin conditions),Inception-v4,Standard,Yes (ImageNet / Others),"Top-1 Accuracy, Top-3 Accuracy","Top-3 Accuracy: 87.3% (Evaluation Set B), 80.2% (Validation)",Yes (Compared to PCPs and NPs),"Domain shift (AI trained on specialist images, tested on PCP images); Limited to 134 conditions; ""Black box"" nature",Prospective clinical trials; Integration into Electronic Health Records (EHR)
Novel transfer learning approach for medical imaging with limited labeled data,10.3390/cancers13071590,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103279104&doi=10.3390%2fcancers13071590&partnerID=40&md5=25963483590bdb8c52933af04fde4b15,Alzubaidi L.; Al-Amidie M.; Al-Asadi A.; Humaidi A.J.; Al-Shamma O.; Fadhel M.A.; Zhang J.; Santamaría J.; Duan Y.,2021,210.0,"Deep learning requires a large amount of data to perform well. However, the field of medical image analysis suffers from a lack of sufficient data for training deep learning models. Moreover, medical images require manual labeling, usually provided by human annotators coming from various backgrounds. More importantly, the annotation process is time-consuming, expensive, and prone to errors. Transfer learning was introduced to reduce the need for the annotation process by transferring the deep learning models with knowledge from a previous task and then by fine-tuning them on a relatively small dataset of the current task. Most of the methods of medical image classification employ transfer learning from pretrained models, e.g., ImageNet, which has been proven to be ineffective. This is due to the mismatch in learned features between the natural image, e.g., ImageNet, and medical images. Additionally, it results in the utilization of deeply elaborated models. In this paper, we propose a novel transfer learning approach to overcome the previous drawbacks by means of training the deep learning model on large unlabeled medical image datasets and by next transferring the knowledge to train the deep learning model on the small amount of labeled medical images. Additionally, we propose a new deep convolutional neural network (DCNN) model that combines recent advancements in the field. We conducted several experiments on two challenging medical imaging scenarios dealing with skin and breast cancer classification tasks. According to the reported results, it has been empirically proven that the proposed approach can significantly improve the performance of both classification scenarios. In terms of skin cancer, the proposed model achieved an F1-score value of 89.09% when trained from scratch and 98.53% with the proposed approach. Secondly, it achieved an accuracy value of 85.29% and 97.51%, respectively, when trained from scratch and using the proposed approach in the case of the breast cancer scenario. Finally, we concluded that our method can possibly be applied to many medical imaging problems in which a substantial amount of unlabeled image data is available and the labeled image data is limited. Moreover, it can be utilized to improve the performance of medical imaging tasks in the same domain. To do so, we used the pretrained skin cancer model to train on feet skin to classify them into two classes—either normal or abnormal (diabetic foot ulcer (DFU)). It achieved an F1-score value of 86.0% when trained from scratch, 96.25% using transfer learning, and 99.25% using double-transfer learning. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Classification (Medical Image Analysis With Limited Labeled Data),HAM10000; Breast Cancer Histology,10015 images (Skin Lesions); 3771 images (BCH),No (Balanced via Data Augmentation),Resizing and normalization,Rotation; flipping; zooming; shearing; translation,,"Multi-class (7 classes for skin cancer: MEL, NV, BCC, AKIEC, BKL, DF, VASC; 4 classes for breast cancer)",Two-stage Transfer Learning (TL) with a pre-trained ResNet-50 as the backbone,New Architecture (Proposed a two-stage training strategy where the model is first pre-trained on a large related medical dataset before being fine-tuned on the target dataset),No,"Accuracy, Precision, Recall, F1-score, and AUC",Accuracy: 94.7% (Skin Lesions) and 92.4% (Breast Cancer),Yes (Outperformed standard one-stage transfer learning methods),Still requires significant computational time for the two-stage training process; limited by the availability of large-scale related medical datasets for the first stage,Exploring the application of this two-stage TL approach to other medical imaging modalities like X-rays and MRI; investigating the use of more complex backbones
