Document Title,Reason for exclusion
Artificial Intelligence in Dermatology Image Analysis: Current Developments and Future Trends,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Skin Cancer Classification With Deep Learning: A Systematic Review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Recent advancement in cancer diagnosis using machine learning and deep learning techniques: A comprehensive review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Artificial intelligence and machine learning algorithms for early detection of skin cancer in community and primary care settings: a systematic review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Explainable artificial intelligence in skin cancer recognition: A systematic review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Characteristics of publicly available skin cancer image datasets: a systematic review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A comprehensive review on federated learning based models for healthcare applications,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Evaluation of artificial intelligence techniques in disease diagnosis and prediction,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
ResNet and its application to medical image processing: Research progress and challenges,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Artificial intelligence in cancer diagnosis and therapy: Current status and future perspective,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A survey on deep learning for skin lesion segmentation,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
State-of-the-art machine learning techniques for melanoma skin cancer detection and classification: a comprehensive review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
"A survey, review, and future trends of skin lesion segmentation and classification",Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A review on recent developments in cancer detection using Machine Learning and Deep Learning models,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A systematic review and meta-analysis of artificial intelligence versus clinicians for skin cancer diagnosis,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A survey on cancer detection via convolutional neural networks: Current challenges and future directions,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A Comprehensive Systematic Review of YOLO for Medical Object Detection (2018 to 2023),Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Modern Trends and Recent Applications of Hyperspectral Imaging: A Review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A survey on computer vision approaches for automated classification of skin diseases,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Advancements in skin cancer classification: a review of machine learning techniques in clinical image analysis,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A comprehensive review of deep learning for medical image segmentation,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Generalizable and explainable deep learning for medical image computing: An overview,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Facial thermal imaging: A systematic review with guidelines and measurement uncertainty estimation,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Using deep learning for dermatologist-level detection of suspicious pigmented skin lesions from wide-field images,Excluded: Full-text report could not be retrieved via available institutional library portals
Skin lesion analyser: an efficient seven-way multi-class skin cancer classification using mobilenet,Excluded: Full-text report could not be retrieved via available institutional library portals
Boundary-Aware Transformers for Skin Lesion Segmentation,Excluded: Full-text report could not be retrieved via available institutional library portals
Checklist for Evaluation of Image-Based Artificial Intelligence Reports in Dermatology: CLEAR Derm Consensus Guidelines from the International Skin Imaging Collaboration Artificial Intelligence Working Group,Excluded: Full-text report could not be retrieved via available institutional library portals
Comparison of the impacts of dermoscopy image augmentation methods on skin cancer classification and a new augmentation method with wavelet packets,Excluded: Full-text report could not be retrieved via available institutional library portals
LBO-MPAM: Ladybug Beetle Optimization-based multilayer perceptron attention module for segmenting the skin lesion and automatic localization,Excluded: Full-text report could not be retrieved via available institutional library portals
SKINC-NET: an efficient Lightweight Deep Learning Model for Multiclass skin lesion classification in dermoscopic images,Excluded: Full-text report could not be retrieved via available institutional library portals
Auditing the inference processes of medical-image classifiers by leveraging generative AI and the expertise of physicians,Excluded: Full-text report could not be retrieved via available institutional library portals
Rethinking Copy-Paste for Consistency Learning in Medical Image Segmentation,Excluded: Full-text report could not be retrieved via available institutional library portals
Label-Free Medical Image Quality Evaluation by Semantics-Aware Contrastive Learning in IoMT,Excluded: Full-text report could not be retrieved via available institutional library portals
Finite element skin models as additional data for dynamic infrared thermography on skin lesions,Excluded: Full-text report could not be retrieved via available institutional library portals
